"file","seq","title"
"docs/sillyspec/troubleshooting.md","1","1. Stage Review marker runId 格式（review- 前缀，CLI 自动生成）"
"docs/sillyspec/troubleshooting.md","2","2. docHash 漂移（design 改一字就要重算 sha256 + 续审）"
"docs/sillyspec/troubleshooting.md","3","3. 子代理撞主模型 5h 限额（429 中断）"
"docs/sillyspec/troubleshooting.md","4","4. requiresWait 两段式（--wait/--continue + AskUserQuestion）"
"docs/sillyspec/troubleshooting.md","5","5. _module-map.yaml schema_version=1 警告刷屏（已止血，根因待修）"
"docs/sillyspec/troubleshooting.md","6","6. QUICKLOG 轮转归档（提交时带上）"
"docs/sillyspec/troubleshooting.md","7","7. home 下长出平行 .sillyspec（读路径建库 + 向上解析无守卫，已根治）"
"docs/sillyspec/troubleshooting.md","8","8. `run quick --help` 误开会话（--help 被静默吞，已修）"
"docs/sillyspec/troubleshooting.md","9","9. quick --done 审计把并行会话的删除算成本会话（双重误判，2026-08-16 实证）"
"docs/sillyspec/troubleshooting.md","10","10. 并发状态分裂三坑（execute run 目录静默缺失 / apply --merge baseline 冲突 / 活文档引用漂移，2026-08-16 闭环）"
"docs/sillyspec/troubleshooting.md","11","11. archive module-impact 检查失败打印裸 [object Object]（2026-08-19 实证）"
"docs/sillyspec/troubleshooting.md","12","12. plan 生成 module-impact 章节名与 archive-impact 契约不同源（2026-08-19 实证）"
"docs/sillyspec/troubleshooting.md","13","13. 工具驾驭三坑：review.json 手工回填 / --answer 提示滞后 / base_ts 冲突再现（2026-08-19 闭环）"
"docs/sillyspec/troubleshooting.md","14","14. quick 末步四字段模板展示滞后（2026-08-20 已修）"
"docs/sillyspec/troubleshooting.md","15","15. 三坑：install 白名单拒 monorepo 链式 / doctor --fix 误删活跃分支 / verify-postcheck CRLF（2026-08-20 闭环）"
"docs/sillyspec/troubleshooting.md","16","16. 四坑：execute 步骤表漂移 / doctor align 绕过 review 门 / modules 引号值转义 / taskcard 反引号（2026-08-20 闭环）"
"docs/sillyspec/troubleshooting.md","17","17. 三坑：ruff format × CRLF stash 死循环 / docHash 手工联动 / task review 草稿漏 task（2026-08-21 闭环）"
"docs/sillyspec/troubleshooting.md","18","18. quick 会话的文件路径规则提示误导纯代码 quick（2026-08-21 已修）"
"docs/sillyspec/troubleshooting.md","19","19. 三坑：建议命令缺 --change / baseline 裹挟跨变更 spec 文档 / 草稿归属漏未提交改动（2026-08-21 闭环）"
"docs/sillyspec/troubleshooting.md","20","20. 手动归档绕行 → 自愈/幽灵清理只翻 status，平台渲染成「进度丢失」（2026-08-21 闭环）"
"docs/sillyspec/troubleshooting.md","21","21. 三坑：apply 后提交误扫 / 他者半归档残留无提示 / review 引用分支只能手动保留（2026-08-21 闭环）"
"docs/sillyspec/troubleshooting.md","22","22. 四坑：provision 假 installed / 验证 task 零 diff 误杀 / Wave 漏识别 / taskcard 逐卡裁决（2026-08-21 闭环）"
"docs/sillyspec/troubleshooting.md","23","23. 四坑：parity 扫描噪音 / module 0 命中未提交改动 / junction 假成功第②层 / 模板元数据头滞后（2026-08-21 闭环）"
"docs/sillyspec/troubleshooting.md","24","24. 三坑：归档尾声 sync 噪音 / 孤儿 worktree 物理目录 / progress show 停留旧阶段（2026-08-21 闭环）"
"docs/sillyspec/troubleshooting.md","25","25. 三坑：未落仓虚警 / 归档变更 worktree 误供给 / verify 服务进程泄漏（2026-08-21 闭环）"
"docs/sillyspec/troubleshooting.md","26","26. 坑 22-① 复发：monorepo 子包假 installed（2026-08-22 闭环）"
"docs/sillyspec/troubleshooting.md","27","27. 四坑（全程总结批）：junction 丢失强装依赖 / apply ENOBUFS / 字面证据误拦 / 跨变更冲突无预警（2026-08-22 闭环）"
"docs/sillyspec/troubleshooting.md","28","28. 两坑：module 匹配对 monorepo 布局失灵 / dev server 端口竞争误判（2026-08-22 闭环）"
"docs/sillyspec/troubleshooting.md","29","29. 三坑：head 真实 commit 契约后知 / changedFiles 注记后缀误判不相交 / 文档债拖到 verify 才拦（2026-08-22 闭环）"
