"fr_id","source_change","status","last_confirm_commit","commit_exists_in_git"
"FR-host-fs-handler-001 会话样式回放主体","2026-09-19-tool-report-session-replay","superseded","3e703c193","true"
"FR-host-fs-handler-002 跨 harness 归一化与解析器矩阵","2026-09-19-tool-report-session-replay","active","53c67e02a","true"
"FR-host-fs-handler-003 token 链路四层打通","2026-09-19-tool-report-session-replay","active","53c67e02a","true"
"FR-host-fs-handler-004 不可用态显式化","2026-09-19-tool-report-session-replay","superseded","3e703c193","true"
"FR-host-fs-handler-005 回放主体按会话样式渲染（TurnTimeline 直适配）","2026-09-20-agent-log-session-replay","active","3e703c193","true"
"FR-host-fs-handler-006 系统事件归一化与多 harness 解析器矩阵","2026-09-20-agent-log-session-replay","active","3e703c193","true"
"FR-host-fs-handler-007 token 与轮次数据四层打通","2026-09-20-agent-log-session-replay","active","3e703c193","true"
"FR-host-fs-handler-008 不可用态显式化与回落","2026-09-20-agent-log-session-replay","active","3e703c193","true"
"FR-styles-001 agent 回复文本无框化（双路径一致）","2026-09-20-agent-reply-no-bubble","active","fbbf02f4b","true"
"FR-styles-002 mobile 可读性规则随类名迁移","2026-09-20-agent-reply-no-bubble","active","fbbf02f4b","true"
"FR-styles-003 用户侧气泡完全不变","2026-09-20-agent-reply-no-bubble","active","fbbf02f4b","true"
