"title","status"
"🟡 sillyhub-daemon 于 2026-06-14 从 Python 重写为 Node.js","(未标)"
"🔴 CI hook 复合命令可绕过 claude PreToolUse 层","(未标)"
"🟢 daemon 重启 session 恢复已修复（gap-8.3 / commit 40e21d3）","(未标)"
"🟡 AgentRunLog 无 metadata 列 / 三层日志 metadata 丢失","(未标)"
"🟢 本机可能存在多个 daemon 实例","(未标)"
"🟡 Docker backend 容器不热重载（挂载非 /app、无 --reload）","(未标)"
"🟢 frontend healthcheck busybox 误报问题已解决（commit 46591be0）","(未标)"
"🟡 daemon pnpm overrides 把 claude-agent-sdk 8 平台二进制硬钉 0.3.181","(未标)"
"🟢 frontend react-query 已正式启用（2026-07 OpenAPI 类型迁移，commit fecaa155 / 29b3c86b）","(未标)"
"🟡 frontend 与 daemon 各自独立 lockfile + 双 UI 库并存","(未标)"
"🟡 audit_hooks 只在测试 lifespan 注册，生产审计要业务代码显式写 AuditLog","(未标)"
"🟡 全 Docker 部署本地 PG 容器端口未映射 host，host 跑 alembic/pytest 连不上","(未标)"
"🟡 ppm 导出 export-excel 路由必须前置于 item_id 路由","(未标)"
"🔴 alembic 并行变更撞 revision 多 head：启动 crash-loop","(未标)"
"🔴 前端测试闸门缺口：gen:types:check 未进 CI，E2E 零落地","(未标)"
"🟡 mcp Python SDK 锁死 v1 线：v2 移除 FastMCP 与平台 mount 冲突","(未标)"
"🟡 Windows Docker bind mount stat 性能断崖：spec_root fs 重循环必炸","(未标)"
"🟡 worktree 过期租约无自动 GC：expires_at 与索引闲置","(未标)"
"🟡 spec_guardian 死代码与 tool_gateway 注释失配：守护门从未在生产生效","(未标)"
"🟢 daemon 三个 3000+ 行 god 文件（daemon.ts 4047 / session-manager.ts 3897 / task-runner.ts 3156）","(未标)"
"会话日志 TOOL_RESULT 中文乱码（Windows 控制台码页，落库即坏不可导出还原）","(未标)"
"🟡 后台任务写通道宽限无界（hasBackgroundTaskGrace 无 TTL，R-01 已接受观察项）","(未标)"
