"ql_id","timestamp","status","title"
"ql-20260604-001-b7f2","2026-06-04 09:11:09","已完成","Bootstrap 扫描文档查错路径排查"
"ql-20260604-002-ff42","2026-06-04 15:48:00","已完成","Agent dispatch 失败：prompt 模板未打入 Docker 镜像"
"ql-20260604-003-a1c8","2026-06-04 16:32:00","已完成","brainstorm 需求分析失败 + Agent 日志宽度"
"ql-20260605-004-c3e1","2026-06-05 13:11:53","已完成","修复 verify 完成后 auto_dispatch 死循环（verify→quick→verify）"
"ql-20260605-005-d4a2","2026-06-05 13:22:23","已完成","前端获取 verify_result 文档 404"
"ql-20260605-006-f1c3","2026-06-05 13:43:35","已完成","修复 auto_dispatch 死循环：sync_stage_status 覆盖 human_gate + 缺少 human_gate 保护"
"ql-20260605-007-a8d4","2026-06-05 13:58:15","已完成","修复 quick→verify→quick 循环：verify-result.md 缺失默认 failed 导致循环"
"ql-20260605-008-b2e5","2026-06-05 14:17:15","已完成","修复归档阶段无限循环 dispatch：sillyspec.db pending steps 导致 step 4 反复 dispatch"
"ql-20260608-001-a7f3","2026-06-08 09:45:00","已完成","变更中心已归档变更仍显示在""进行中""tab"
"ql-20260608-006-a4d1","2026-06-08 14:00:00","已完成","修复 dispatch 后 agent 日志不出现（useEffect 竞态）"
"ql-20260608-005-f3b8","2026-06-08 13:42:52","已完成","修复 dispatch 后 agent 日志消失（再次）"
"ql-20260608-004-c2e9","2026-06-08 13:30:13","已完成","变更详情页 agent 状态/日志不刷新 + dispatch 后日志消失"
"ql-20260608-003-d5a7","2026-06-08 13:16:35","已完成","变更中心列宽调整+影响组件换行显示"
"ql-20260608-002-e4b1","2026-06-08 13:06:39","已完成","变更中心类型列中文回显"
"ql-20260605-009-c7f2","2026-06-05 15:00:06","已完成","变更文档完整性拿不到文档：change_key 和目录名不匹配"
"ql-20260608-009-e3f7","2026-06-08 14:17:00","已完成","修复 dispatch 后 Agent 日志区域消失"
"ql-20260608-010-a1b2","2026-06-08 15:25:00","已完成","Bootstrap 成功后不创建子组件 workspace"
"ql-20260609-001-c4d5","2026-06-09 09:55:00","已完成","Agent 控制台日志截断 + TOOL 通道显示原始 JSON"
"ql-20260609-003-b5e2","2026-06-09 10:35:20","已完成","Agent 控制台日志区域高度增加至 1.5 倍"
"ql-20260609-004-a9c1","2026-06-09 10:41:00","已完成","Workspace Bootstrap 日志区域改为 Agent 控制台同款深色样式"
"ql-20260609-005-d2f7","2026-06-09 10:56:22","已完成","Bootstrap 日志区域完全复用 Agent 控制台组件"
"ql-20260609-006-e3a1","2026-06-09 11:24:33","已完成","Agent 运行日志自动滚动到底部"
"ql-20260609-007-b4c2","2026-06-09 13:47:04","已完成","工作区详情页显示上一次 Bootstrap 运行结果"
"ql-20260609-008-a1d3","2026-06-09 14:10:00","已完成","修复 Bootstrap runs 排序：created_at 缺失导致取到错误 run"
"ql-20260609-009-c5f4","2026-06-09 14:30:00","已完成","修复 Bootstrap 结果卡片显示""成功""但实际后置校验失败"
"ql-20260609-002-f8a3","2026-06-09 10:16:43","已完成","Agent 控制台日志展示优化：结构化 tool 回显 + 扫描自检摘要 + 状态区分"
"ql-20260609-010-d6e7","2026-06-09 15:00:00","已完成","Agent 控制台全屏按钮 + 频道过滤器(INFO/TOOL/WARN/ASK/REPLY)"
"ql-20260609-011-c8f9","2026-06-09 15:30:00","已完成","扫描自检摘要卡片 parseScanCheckOutput 正则修复"
"ql-20260609-012-a1b2","2026-06-09 16:00:00","已完成","Agent 控制台日志10项优化全量验证 + parseScanCheckOutput 最终修复"
"ql-20260609-013-a3f7","2026-06-09 16:20:00","已完成","Agent 日志事件归一化 + 工具专属渲染(Write/Agent/Grep/Read/Edit)"
"ql-20260609-014-c3d8","2026-06-09 16:50:00","已完成","修复 stdout [TOOL_USE] 文本事件被当作普通 INFO 渲染"
"ql-20260610-003-b5d4","2026-06-10 09:41:32","已完成","Bootstrap 成功后增加""生成项目组件""按钮"
"ql-20260610-002-e7c3","2026-06-10 09:31:16","已完成","修复 agent run 被误标为 failed（cleanup_stale_runs 覆盖已完成 run）"
"ql-20260610-001-f2a1","2026-06-10 09:13:46","已完成","修复 GET /api/workspaces 500（后端连接池耗尽）"
"ql-20260609-015-d4e9","2026-06-09 17:20:00","已完成","修复 stdout [TOOL_RESULT] 大段内容被当作普通 INFO 展示"
"ql-20260610-004-c7f3","2026-06-10 15:43:55","已完成","重置密码后展示明文密码（后端生成随机密码并返回）"
"ql-20260616-001-8b4e","2026-06-16 09:05:00","已完成","修复 Windows 上 sillyhub-daemon spawn claude 报 ENOENT"
"ql-20260616-002-f4ce","2026-06-16 09:35:52","已完成","/runtimes 快速对话本地终端 + 前端流式显示执行过程"
"ql-20260616-003-2d2a","2026-06-16 10:30:30","已完成","daemon 弹独立终端观察 Claude 执行（不破坏平台事件流）"
"ql-20260617-001-3aed","2026-06-17 11:32:52","进行中","角色管理新增「查看角色下用户」功能"
"ql-20260617-002-21d4","2026-06-17 13:55:00","已完成","用户管理抽屉组织/角色多选显示""暂无选项"""
"ql-20260617-003-3757","2026-06-17 14:05:00","已完成","用户管理/角色管理分页（默认 20 条/页）"
"ql-20260617-004-02d5","2026-06-17 14:15:00","已完成","角色/用户管理改用 antd Table + 每页数量可选"
"ql-20260617-005-2682","2026-06-17 14:35:00","已完成","系统角色 name/description 中文化"
"ql-20260617-006-7c92","2026-06-17 15:47:09","已完成","用户管理抽屉不显示用户已有角色/组织"
"ql-20260617-007-4a31","2026-06-17 16:27:35","已完成","非平台管理员看不到「系统管理」菜单"
"ql-20260618-001-a3f2","2026-06-18 11:15:00","已完成","厘清 git-identities/settings menu 与 user:read 的冗余兜底"
