"ql_id","timestamp","title","root_cause_excerpt","mentions_test"
"ql-20260920-004-f580","2026-09-20 14:24:15","claude 会话 one_m 勾选未作用于主模型——1M 供应商 ~160k 提前触发引擎自动压缩","one_m 的 [1m] 后缀只落 ANTHROPIC_DEFAULT_{ROLE}_MODEL；主模型两条路径都拿裸名——injector 规则 3 ANTHROPIC_MODEL 取 default_fallback_model/model 无 one_m 信号，daemon 又把 backend payload.","true"
"ql-20260920-001-1bf6","2026-09-20 12:45:00","db.sqlite token 可得性实证（2026-09-20-agent-log-session-replay task-04 前置）","（无缺陷——设计期实证任务，防「盲实现透传」或「盲缺省」两错）","true"
"ql-20260917-006-1380","2026-09-17 15:57:08","会话对话区隐藏上下文压缩续接摘要，压缩中实时提示","CLI 自动 compaction 后把续接摘要当 assistant 文本块注入新窗口，被前端 classifySessionLog 归 reply 渲染成大段气泡刷屏（线上会话 6e213eb3 两天 16 次实证）；SDK system/status 压缩帧被 daemon 归一化器静默丢弃，前端无任何压缩过程信","true"
"ql-20260916-013-c032","2026-09-16 12:36:56","翻页游标块序错位根治 + 跳转空壳命中 + rAF 后台卡死（32 轮空壳三连修）","线上浏览器实测复现三问题：①进入会话 20ms 内 36+ 条 /runs 并发（fetch 堆栈定位 onTurnCompleted——日志窗口播种只覆盖窗口内轮次，缺口同步对快照全部终态轮合成事件，6e213eb3 会话 44 轮 1.1 万条日志 37 轮未播种全通过门控；测试夹具 3 轮全在窗口内未暴露）；②滚","true"
"ql-20260916-012-b5b2","2026-09-16 12:08:32","全路由 force-dynamic 根治部署后旧 HTML 壳一年缓存坑","Next 默认把客户端页面 static 预渲染打 s-maxage=31536000（实测全站含 /login），重新部署后浏览器/代理继续用旧壳引用旧 chunk，新代码永不生效——用户实证 /sessions 部署后无变化、后端日志 11:58 仍见旧版 200ms 内 6 条 /runs 扇出；公网 chunk","true"
"ql-20260916-011-06b3","2026-09-16 10:31:56","失败卡 unknown 根治（失败轮补可读 failure_summary）","交互轮失败（agent 执行报错）时 daemon 未回传执行摘要（result_summary 空），后端不落任何可读原因，前端 buildSystemFailureItem 无 summary 无映射 → 错误卡只剩「运行失败 · unknown」光秃展示（用户实证 6e213eb3 会话 09-15 11:00 ","true"
"ql-20260916-009-ac60","2026-09-16 10:15:15","历史翻页空壳修复（翻「加载更早」不再只显示配置行）","「加载更早」装配块 runId 保留 #e 伪 id → enrichDisplayTurns 按 realRunId ?? runId 查快照双 miss → 同 run 被孤儿轮补建成只有 whoLine 配置行的空壳占位块（runsMeta 全量快照 vs 日志 100 条窗口，未加载轮次内容缺失）；叠加 dis","true"
"ql-20260916-003-63ee","2026-09-16 05:59:33","daemon 码页探测解码器 GBK 流式回退死代码修复——StringDecoder.write 从不抛错致切换分支不可达","0b05fc0f5 的 CodepageDetectorDecoder 依赖 StringDecoder.write 抛错切 GBK，但 Node StringDecoder 对非法/GBK 字节从不抛错（直接替换 U+FFFD 返回，v24.15.0 本机实证 D6D0CEC4→乱码），catch 死代码；task-","true"
"ql-20260915-012-860e","2026-09-15 22:42:31","定时消息终态条目支持删除清空（DELETE 放开终态+前端清空已结束入口）","终态行永久留档、列表全状态返回且前端全展示、无删除/清空历史 API——已结束条目在会话页永久残留无法去除（线上会话 6e213eb3 实证，只能删库清理）","true"
"ql-20260915-010-2876","2026-09-15 20:35:16","fix(policy): shell 写路径提取器剥尾部命令分隔符——修 c:/dev/null 审计一会放行一会拒绝","重定向目标正则 (?:>>|>)\s*(\S+) 的 \S+ 贪婪吞掉后续命令分隔符（;/&&/||）： 提取出 /dev/null; 匹配不上 SILLYSPEC_TEMP_ROOTS 白名单 → 策略审计同目录抖动（线上 runtime 2f0467a6 policy_audit_log 实证 + node 复现）","true"
"ql-20260915-001-8312","2026-09-15 05:03:35","codex driver JSON-RPC 撞号修复——compact 等回执请求 id 并入 nextRpcId 单计数器","24h 审查发现双计数器缺陷：nextRpcId（turn/start·interrupt，≥3 无上界）与 nextJsonRpcId（compact，seed 100）共享 id 空间，长会话约 97 轮后交叉撞号，同 id 并发时 _maybeResolveJsonRpcResponse 按先到回执错配唤醒 pe","true"
"ql-20260915-002-3fa","2026-09-15 04:15:00","思考级别真机三引擎实证（2026-09-14-session-thinking-level task-04 spike + task-07）","","false"
"ql-20260914-008-7c2e","2026-09-14 17:55:00","spike-01/02/R-01 压缩通道真机实证（2026-09-14-session-ctx-compact task-07）","","false"
"ql-20260914-004-0be7","2026-09-14 09:14:32","登记 sillyspec CLI 第四坑（ql-ID 预留/分配竞态）+ 修 QUICKLOG 旧 ID 引用","quick 会话启动预留 ql-ID 无查重，同一 ID 可双发放（实证 007-1351）；file-notes/模块文档在最终 ID 分配前引用预留值会指向他者条目","true"
"ql-20260914-003-aafe","2026-09-14 09:11:37","修复 pi 交互会话 ctx_tokens 被 driver 轮累计覆盖丢失","pi-rpc-driver 轮累计覆盖块（ql-20260909-028）用 turnUsageSum 整体替换 turn_end usage 事件的 ev.usage，抹掉归一化器派生的 ctx_tokens；且现行 pi 版本 turn_end 定格常为零值，正确数据源是末次 message_end 原始帧（202","true"
"ql-20260913-004-dd9c","2026-09-13 08:38:34","sillyspec CLI 三个工具负面点按规则 15 落 docs/sillyspec/ 活跃坑登记","上一批修复会话实证：quick 启动被平台同步阻塞 126s 超时会话却已建立；--file-notes step2 传完才被告知仅 step3 生效；QUICKLOG 共享文件提交必夹带并行会话条目","true"
"ql-20260913-003-4ee3","2026-09-13 07:25:02","24h 审查风险修复批第三轮收尾：群共识收尾事务+auto_resume 重放链上限+junction 脚本护栏+迁移方言兼容+alembic 单头守护","①get_session 成功路径不 commit，gather 后共识变更只 flush 即回滚；②同型守卫拦不住交替错误类型；③statSync 跟随 junction 致幂等护栏失效、回滚 catch{} 吞错误报成功；④now() 是 PG-only 函数；⑤双头两周两次复发且 CI 拦不住","true"
"ql-20260913-002-a71d","2026-09-13 02:10:00","spike-01 codex tokenUsage.last 字段真机实证（2026-09-13-ctx-usage-all-providers task-08）","","false"
"ql-20260911-029-5571","2026-09-11 21:33:04","pi 切智谱断流修复：models.json api 按 api_format 映射","writePiDir 把 api 写死 openai-completions（上一变更按 OpenAI 兼容端点 golden 设计），anthropic 形态无映射——pi 拿 OpenAI 协议打智谱 anthropic 端点必断流（线上会话 d4c29d95 首切实证，pi 四次重试全秒断）","true"
"ql-20260911-028-8736","2026-09-11 19:01:43","代报需要延迟兜底——活体 mission c4731a06/worker 4ca98b77 实证 claude_code 分身（mcp=true 自报路径）未调…","立即代报只覆盖 mcp=false（claude 自报无兜底）；pi 空白 result（override 晚到）无补报机会；叠加 workspace b97f8231 default_agent=NULL 使派发白跑 claude（已补 pi）。","true"
"ql-20260911-027-13b6","2026-09-11 16:48:56","pi 会话 AskUser 弹窗缺失修复——vendored ask-user 扩展补发起端","2026-09-09-askuser-pi-cursor 只做了 pi 弹窗链路的接收半（extension_ui_request→平台弹窗桥接），但 pi 本体无任何模型可调的提问工具、daemon 只挂 subagent 扩展，发起端缺失——pi 会话模型只能文字罗列问题（会话 d4c29d95 实证 sessio","true"
"ql-20260911-004-70fc","2026-09-11 09:32:22","get_daemon_status.effective_quota_pool 空值不可判——消费方无法预判本地配额耗尽时平台兜底是否成立（活体回执…","远端 llm_providers 全为 claude 且无一 is_default=true（DB 实证），属主未配 pi 平台凭证时 probe 按设计返回 null，但 null 无法区分「同池（预期坏态）」与「未实现」。","true"
"ql-20260910-016-e8e0","2026-09-10 22:43:49","user_input 日志行 5000 截断放宽到 50000 单一常量，会话页长输入不再截断","后端 9 个写点硬编码 content[:5000] 落 AgentRunLog(channel=user_input)，长输入的展示与「重新发送」都吃截断副本（生产库多条 user_input 行 len=5000 实证）；agent 实收的 SESSION_INJECT prompt 本就是全文，纯展示层截断","true"
"ql-20260910-012-392f","2026-09-10 15:14:09","平台同步区串台修复——变更中心改读工作区级 sillyspec 快照","platform-sync-section.tsx 仍读机器级 sillyspec_status 单槽位；daemon 工作区级化后每轮采集逐目标覆盖单槽位，多工作区绑定时变更中心显示别区数据（总览卡 14a50351d 已改 map 优先，本组件漏改），用户实证总览卡 3 条冲突而变更中心不可见、无法在平台裁决","true"
"ql-20260909-028-2582","2026-09-09 22:25:43","修复 pi 用量严重低报——逐调用累加替代 turn_end 定格值 replace","pi 每条 message.usage 是单次调用量（jsonl ground truth 实证），turn_end 只定格最后一次调用，driver replace 语义丢轮内工具循环中间调用——实测全会话只记到真实 in 5.7%/out 8.5%/cacheRead 1.9%","true"
"ql-20260909-027-4b26","2026-09-09 22:17:13","修复 codex 用量全漏——thread/tokenUsage/updated 才是用量真源，driver 差值记账","codex 0.147 的 turn/completed 不带 usage，适配器旧提取点恒空；用量在每次 API 调用后的 thread/tokenUsage/updated 通知（total 线程累计），生产 3 个 codex run token 全 NULL 实证","true"
"ql-20260909-026-ff18","2026-09-09 21:26:48","修复 codex 交互会话必现卡死——早到 inject 竞态下 turn/start 未等 threadId 就绪被静默跳过","backend 建会话即派发首句，inject 走 inject_wait parked 路径在 create 完成后立即入队，consume 循环握手写完即取到输入，此刻 codex thread/start 响应未到（h.threadId=null），_writeTurnStart 静默 return 后死等 cu","true"
"ql-20260909-022-a42b","2026-09-09 20:33:36","会话用量条零用量判据修正——pi/cursor 等无请求计数上报引擎的用量条误隐藏","ql-20260909-005 零用量隐藏选了 api_requests 单指标判据，而 daemon 仅 Claude SDK 驱动上报 modelUsage（才附带 model_usage/api_requests），pi/cursor 驱动只报四维 token，后端聚合「未记录」桶请求次数恒按 0 计，有真实 t","true"
"ql-20260909-016-fa10","2026-09-09 13:39:40","init lease 凭据静默断链补日志 + daemon 心跳工作区键 UUID 守卫","三层静默断链与心跳 422 两坑的代码修复（对应当日两份缺陷文档的修复建议）：降级/跳过合法但零提示使 local.yaml platform 段缺失无从发现；心跳协议字段由目录名/学习键宽松填充无校验，任一非 UUID 值整心跳被拒","true"
"ql-20260908-014-3909","2026-09-08 22:39:47","daemon 日志时间戳","2026-09-08 temp 投毒排障实证：daemon.log 行无时间戳，跨小时排障只能靠事件计数反推时间线；裸 console 散布 8+ 文件 100+ 处，逐点改格式不现实","true"
"ql-20260908-014-3909","2026-09-08 22:39:47","daemon 日志时间戳","2026-09-08 temp 投毒排障实证：daemon.log 行无时间戳，跨小时排障只能靠事件计数反推时间线；裸 console 散布 8+ 文件 100+ 处，逐点改格式不现实","true"
"ql-20260907-011-14e0","2026-09-07 20:35:12","zcode SQLite 分派存在性门功能回归修复——换 rollout 目录门","ql-20260911-003-355a 安全批的 lstat 存在性门以文件存在为授权凭证，而 rollout 文件被 zcode 分钟级清理，历史会话（文件没了）全被门拦回落 not_found——恒读 SQLite 救活死会话的 D-001@v1 核心场景被误杀（生产实证：5706f6cb 会话在库 44 条消息","true"
"ql-20260907-002-b595","2026-09-07 09:34:56","修复 pi driver pendingTurnError 轮内粘滞：pi 自动重试恢复后 turn 仍误报失败","pendingTurnError 是 consume 内会话级闭包变量，轮内只在下一轮 inject 前清一次（pi-rpc-driver.ts:896）；pi 对 API 失败自动重试，前 2 次 attempt 超时的 ame.error 已写值，第 3 次成功出完整答案后旧值粘滞，agent_settled 后 ","true"
"ql-20260906-001-9232","2026-09-06 22:13:35","修复审计两中危项：quick-chat SQLite hex 未归一化派发必败 + isAssistantApiErrorText 全文正则误吞正常回复","raw text() 结果 SQLite 返回 CHAR(32) hex 字符串不经类型回转，placement 内 .hex 对 str 抛 AttributeError 被 except 吞掉误报无在线 runtime；错误词正则全文任意位置匹配，成功 run 正文提到 API Error 等词即被整条丢弃且无失败","true"
"ql-20260904-027-25f6","2026-09-04 22:12:48","修三件部署遗留——daemon 服务器轮询自更新+runtime 归属自愈+entrypoint chown 守卫","①运行中自更新只有平台 WS 指令与磁盘旁路探测两触发源，无服务器轮询，部署新 bundle 后运行中 daemon 永不自发现（等 11 分钟零触发实事故）②register runtime 更新分支从不写 rt.user_id，实例归属改绑后 runtime 永挂旧用户致 pending-controls 等端点恒","true"
"ql-20260904-026-ad9b","2026-09-04 20:53:22","daemon register 拒绝时终端中文提示+后台进程日志 tee 落 daemon.log","换账号 API Key 复用机器身份被 403 ownership mismatch 拒绝时 daemon 只在内部日志静默重试，且自更新 respawn（stdio=ignore）与 VBS 隐藏自启的 console 输出凭空丢失，用户看到启动命令退出即误判启动不了且零提示（2026-09-04 实事故）","true"
"ql-20260904-022-ab52","2026-09-04 14:44:52","修 WS 送达控制指令 ack 无冲刷触发点（daemon 消费后立即回执）","ack 冲刷只在 pullAndConsume（触发=心跳 pending_controls>0 或重连对账），而 pending_controls 只统计 pending 行、WS 送达即 delivered 的指令永不触发——ack 永远留队，10 分钟后 backend GC 按 delivered-未-ack ","true"
"ql-20260904-017-28be","2026-09-04 10:27:17","daemon 会话创建凭证持久化——修复重启后 SDK 裸起 Not logged in","claim 下发的 provider_config 只进 spawn env（内存），state.providerConfig 唯一赋值点是切换供应商——首次创建的会话凭证从不落盘 sessions.json（18 会话实证全无 providerConfig 键），daemon 重启后恢复链无凭证 + claude 隔","true"
"ql-20260904-013-6fd8","2026-09-04 08:58:40","会话页失败卡两缺口修复——错误原文不进回复气泡+影子直聊 prompt 提取","会话 2f08b5da 实证：CLI 把远端 401 误报的 Not logged in 行在会话页装配器被当 agent 回复渲染成气泡（09-03 修复只盖 normalize 日志管线）；影子直聊仅一条带前导 user_input 被 logsToTurns 整条跳过，prompt 收空致无用户气泡且失败卡无重发","true"
"ql-20260904-007-141f","2026-09-04 03:13:09","@全体并行触发 gather 收口注释与实现对齐（24h 审计 M2","注释宣称非 AppError 意外异常「照旧 fail-loud 整条抛」暗示串行版中断语义，与并行实现（收口时全部成员已触发）不一致——规则 18 注释与实现不一致须修正","false"
"ql-20260903-020-fdf4","2026-09-03 22:17:36","end_group 解散容错分层——意外异常不再留半死群","_end_member_shadow 只捕 AppError：DB 抖动等非 AppError 会带着此前成员影子已逐个 commit 的半途状态把整个解散请求打 500，群行 ended_at 未写、部分成员影子已终止——群在列表里活着但成员全没反应","true"
"ql-20260903-016-ea8a","2026-09-03 19:44:21","派发失败收链——run 判死后取消 pending 指令（消息复活修复）","inject/interrupt 推送失败（daemon 离线）时 run 已收敛 failed 并向用户报 504「未能发送」，但 enqueue_and_push 落库的 pending 指令行保留——daemon 在 TTL 内重连补拉会照常执行：界面报错后消息复活，用户重发则同一条消息执行两遍；interrup","true"
"ql-20260903-011-1b58","2026-09-03 14:56:33","CLI 鉴权瞬时失败自动重投加前端中文错误卡片（远端 401 误报 Not logged in 修复）","claude CLI 把模型网关 401 统一合成 Not logged in Please run login 误导文案注入对话且 retryable 为 false，用户只能手动重发；实证 2026-09-03 会话 cb56fabf 同一进程同密钥 13 秒后重发即成功，纯远端瞬时抖动，与部署与供应商配置无关","true"
"ql-20260903-003-3e1a","2026-09-03 10:07:22","团队任务分身终态失败后主控30分钟不被唤醒且巡逻resume死循环修复","分身 run 被 429 限流打死（error_code=interactive_failed，resume_token=NULL）后：①agent 已死不会再调 worker_done，会话 active+未 done 使 workers_all_terminal_with_stats 恒判未全完成，lease 完成","true"
"ql-20260902-018-7203","2026-09-02 19:32:56","backend-ci 两过时测试断言补同步（孙逐级回叫/影子详情读放行）","两用例滞后于有意行为变更（非实现回归）：04d8be3e（quick-33956fb8）引入孙完成逐级回叫直接父，grandchild pending 用例仍断 injected==[]；8dcc562f4（quick-d4a8140d）放行影子详情读（allow_shadow_member_read=True，防成员","true"
"ql-20260902-008-3723","2026-09-02 15:41:49","团队分身会话查看器「加载更早消息」点击无反应——单 run 跨游标整段丢弃修复","分身会话整段执行是单个长 run，handleLoadEarlier 的 run 级去重把与当前窗口同 run 的更早日志整 turn 丢弃（原作者注释视作可接受降级，但对分身单 run 会话是 100% 丢弃——按钮永远无反应，ee24ba15 分身 c479dbc6 用户实证）","true"
"ql-20260902-007-1b07","2026-09-02 14:32:20","团队任务嵌套分身死锁根治——孙层完成逐级回叫父会话+僵尸等待态强收兜底","生产 ee24ba15 实证三层互等：孙 worker_done 唤醒只有「全树完成→通知根」无回叫直接父，中间层分身派完孙结束轮次后永不被唤醒不上报 done；_virtual_status 把首 run 成功+会话空闲+未上报映射 running；patrol 职责⑦只扫 ended/failed 终态，activ","true"
"ql-20260831-011-2d44","2026-08-31 13:09:15","daemon message_delta 差分补读 input_tokens 轮内输入实时化","GLM 兼容端点 message_start 不带 input（实证轮内↑0 终态才有值），daemon 只从 message_start 取输入、delta 只读 output/cache——若 GLM 在 delta 携带 cumulative input 也被丢弃，轮内输入无法实时显示","true"
"ql-20260831-006-6d67","2026-08-31 11:14:57","会话卡排队双修复：inject 发送 30s 超时兜底 + suspended 会话随 daemon 回线自动恢复","2026-08-31 会话卡排队事故两个实锤缺陷：①前端 apiFetch 无超时——后端劣化时 inject POST 无限挂起，占位轮永远「排队中/正在思考…」无错误提示，刷新后消息彻底消失（从未到后端）；②backend 重启窗口 daemon WS 断开被 10s 降级 offline，offline swee","true"
