"file","lines"
".sillyspec/docs/dashboard/modules/components.md","90"
".sillyspec/docs/dashboard/modules/composables.md","73"
".sillyspec/docs/dashboard/modules/server-executor.md","55"
".sillyspec/docs/dashboard/modules/server-index.md","67"
".sillyspec/docs/dashboard/modules/server-parser.md","58"
".sillyspec/docs/dashboard/modules/server-watcher.md","60"
".sillyspec/docs/sillyspec/modules/bin.md","52"
".sillyspec/docs/sillyspec/modules/change-management.md","73"
".sillyspec/docs/sillyspec/modules/cli-entry.md","101"
".sillyspec/docs/sillyspec/modules/core-engine.md","191"
".sillyspec/docs/sillyspec/modules/dashboard-components.md","84"
".sillyspec/docs/sillyspec/modules/dashboard-composables.md","103"
".sillyspec/docs/sillyspec/modules/dashboard-frontend.md","94"
".sillyspec/docs/sillyspec/modules/dashboard-server.md","119"
".sillyspec/docs/sillyspec/modules/dashboard.md","61"
".sillyspec/docs/sillyspec/modules/dispatch.md","59"
".sillyspec/docs/sillyspec/modules/docs-consistency.md","47"
".sillyspec/docs/sillyspec/modules/hooks.md","71"
".sillyspec/docs/sillyspec/modules/machine-interface.md","50"
".sillyspec/docs/sillyspec/modules/migration.md","65"
".sillyspec/docs/sillyspec/modules/progress.md","63"
".sillyspec/docs/sillyspec/modules/redlines.md","34"
".sillyspec/docs/sillyspec/modules/runtime.md","125"
".sillyspec/docs/sillyspec/modules/setup.md","87"
".sillyspec/docs/sillyspec/modules/sillyhub-mcp.md","62"
".sillyspec/docs/sillyspec/modules/stages.md","94"
".sillyspec/docs/sillyspec/modules/sync.md","99"
".sillyspec/docs/sillyspec/modules/workflow.md","194"
".sillyspec/docs/sillyspec/modules/worktree.md","124"
