"fr_id","source_change","status","last_confirm_commit","commit_exists_in_git"
"FR-bin-001 blast 轴项目化——声明面解析 + 词表退役 + evidence 位独立","2026-09-19-ceremony-pricing-five-cuts","active","7438d34","true"
"FR-bin-002 完成门声明追赶重定价（无摩擦可降、摩擦地板不退）","2026-09-19-ceremony-pricing-five-cuts","active","7438d34","true"
"FR-bin-003 span 解析认「## 文件变更清单」标题","2026-09-19-ceremony-pricing-five-cuts","active","7438d34","true"
"FR-bin-004 双跑高报 warn 只记账不阻断","2026-09-19-ceremony-pricing-five-cuts","active","7438d34","true"
"FR-bin-005 删除面收敛与本变更自指走位","2026-09-19-ceremony-pricing-five-cuts","active","7438d34","true"
"FR-core-engine-001 稳定 FR id 发号与幂等索引","2026-09-18-fr-index-l1","active","aae25a4","true"
"FR-core-engine-002 承接取代链与写作期注入","2026-09-18-fr-index-l1","active","aae25a4","true"
"FR-core-engine-003 四类观察指标事件流","2026-09-18-fr-index-l1","active","aae25a4","true"
"FR-core-engine-004 D14 第四检查与覆盖面边界","2026-09-18-fr-index-l1","active","aae25a4","true"
"FR-core-engine-005 三轴客观定价引擎","2026-09-18-ceremony-risk-pricing","active","7c7a85c","true"
"FR-core-engine-006 接管 review-tier 与 plan_level 降级编排化","2026-09-18-ceremony-risk-pricing","active","7c7a85c","true"
"FR-core-engine-007 收口双跑对账（预价信声明，结算信事实）","2026-09-18-ceremony-risk-pricing","active","7c7a85c","true"
"FR-core-engine-008 friction 阶段门升档与影子期","2026-09-18-ceremony-risk-pricing","active","7c7a85c","true"
"FR-core-engine-009 probe8 diff 源替换","2026-09-18-probe8-direct-compare","active","","(无确认哈希)"
"FR-core-engine-010 代码级字段直比","2026-09-18-probe8-direct-compare","active","","(无确认哈希)"
"FR-core-engine-011 骨架渲染与 advisory 档","2026-09-18-probe8-direct-compare","active","","(无确认哈希)"
"FR-core-engine-012 三槽预填引擎","2026-09-18-artifact-prefill","active","6786025","true"
"FR-core-engine-013 refresh 重放与已确认保护","2026-09-18-artifact-prefill","active","6786025","true"
"FR-core-engine-014 门禁梯度与对表","2026-09-18-artifact-prefill","active","6786025","true"
"FR-core-engine-015 covered-service 判定形态满足覆盖等式","2026-09-19-api-matrix-service-coverage","active","7438d34","true"
"FR-core-engine-016 测试锚点硬约束与八面文案同源","2026-09-19-api-matrix-service-coverage","active","7438d34","true"
"FR-core-engine-017 四阶段评审材料包契约","2026-09-19-review-material-pack","active","7438d34","true"
"FR-core-engine-018 再审唯一材料化＋基准面语义","2026-09-19-review-material-pack","active","7438d34","true"
"FR-core-engine-019 机械验收钉","2026-09-19-review-material-pack","active","7438d34","true"
"FR-core-engine-020 CLI 机械注入接线","2026-09-19-review-material-cli-wiring","active","33fca7f","true"
"FR-core-engine-021 混合组包边界","2026-09-19-review-material-cli-wiring","active","33fca7f","true"
"FR-core-engine-022 验收钉","2026-09-19-review-material-cli-wiring","active","33fca7f","true"
"FR-core-engine-023 span_risk 声明段与装载器","2026-09-19-span-risk-pattern-migration","active","c796534","true"
"FR-core-engine-024 定价消费面切换（ceremony span 轴）","2026-09-19-span-risk-pattern-migration","active","c796534","true"
"FR-core-engine-025 quick 画像消费面切换","2026-09-19-span-risk-pattern-migration","active","c796534","true"
"FR-core-engine-026 硬退役与自举","2026-09-19-span-risk-pattern-migration","active","c796534","true"
"FR-core-engine-027 回归钉","2026-09-19-span-risk-pattern-migration","active","c796534","true"
"FR-core-engine-028 依据决策机读链","2026-09-20-fr-index-l2","active","4222a90b","true"
"FR-core-engine-029 模块卡指针显式化","2026-09-20-fr-index-l2","active","4222a90b","true"
"FR-core-engine-030 GWT 场景正文入库","2026-09-20-fr-index-l2","active","4222a90b","true"
"FR-core-engine-031 存量回填","2026-09-20-fr-index-l2","active","4222a90b","true"
"FR-core-engine-032 跨仓条目按仓真实对账","2026-09-20-scope-audit-cross-repo","active","50c29406","true"
"FR-core-engine-033 锚点分级","2026-09-20-scope-audit-cross-repo","active","50c29406","true"
"FR-core-engine-034 --json 契约仓库维度（第一交付物，additive）","2026-09-20-scope-audit-cross-repo","active","50c29406","true"
"FR-core-engine-035 预执行与降级形态","2026-09-20-scope-audit-cross-repo","active","50c29406","true"
"FR-core-engine-036 文本表与 --file","2026-09-20-scope-audit-cross-repo","active","50c29406","true"
"FR-core-engine-037 快照与冻结语义","2026-09-20-scope-audit-cross-repo","active","50c29406","true"
"FR-core-engine-038 共享内核单一真相源","2026-09-20-scope-audit-cross-repo","active","50c29406","true"
"FR-redlines-001 红线断言评估","2026-09-20-redline-machine-check","active","a17fcab","true"
"FR-redlines-002 机制与内容分离","2026-09-20-redline-machine-check","active","a17fcab","true"
"FR-redlines-003 探针挂载与健壮性","2026-09-20-redline-machine-check","active","a17fcab","true"
"FR-runtime-001 门禁前置失败清单注入","2026-09-18-preflight-slimming","active","29aa686","true"
"FR-runtime-002 阶段感知注入瘦身","2026-09-18-preflight-slimming","active","29aa686","true"
"FR-runtime-003 wait 继承盖章","2026-09-18-preflight-slimming","active","29aa686","true"
"FR-runtime-004 测选路引导与守恒验收","2026-09-18-preflight-slimming","active","29aa686","true"
