"ql_id","timestamp","status","title"
"ql-20260604-001-7a4c","2026-06-04 16:47:41","已完成","对齐文件生命周期文档与工具实现"
"ql-20260617-002-b8d2","2026-06-17 11:28:01","已完成","默认执行 Design Grill 并引入决策版本"
"ql-20260617-003-c3d9","2026-06-17 13:32:42","已完成","收紧 Grill 流程语义与决策 ID 解析"
"ql-20260617-004-a91f","2026-06-17 13:52:11","已完成","收紧缺省 priority 的未决决策阻断"
"ql-20260617-001-9c4a","2026-06-17 11:16:23","已完成","接入 Grill 深度追问与决策追踪链路"
"ql-20260604-001-7a4c","2026-06-04 16:47:41","已完成","对齐文件生命周期文档与工具实现"
"ql-20260703-001-a079","2026-07-03 10:10:20","已完成（代码并入 commit 4a5f596，与 --no-worktree 谎言修复混提；message 漏标 7 bug）","修复 worktree 生命周期 7 个 bug"
"ql-20260713-001-3e46","2026-07-13 13:12:51","已完成","修复 design/plan 契约校验两处正则误判（文件清单编号前缀 + 生命周期假豁免）"
"ql-20260713-002-7628","2026-07-13 15:07:23","已完成","修复 quick 守卫两缺陷：baseline 漏捕 .sillyspec/ untracked + --done 忽略 force/allow flag"
"ql-20260722-001-25e4","2026-07-22 14:39:37","已完成","(quick 任务)"
"ql-20260802-001-b6d8","2026-08-02 01:36:46","已完成","init 为 Claude Code 生成 CLAUDE.md（版本感知三态四分支注入）"
"ql-20260802-002-36ae","2026-08-02 13:00:43","已完成","spec-dir.test.mjs 全量套件 Windows flaky 防御（run 加 retry+诊断+timeout）"
"ql-20260802-003-752e","2026-08-02 13:38:20","已完成","quick --done 完成推荐改推「提交」，不再盲推 scan 回头路"
"ql-20260802-004-456b","2026-08-02 13:44:04","已完成","QUICKLOG/tasks.md 标题占位符修复（启动从关联变更回退 + 翻完成按需求刷新）"
"ql-20260802-005-5240","2026-08-02 22:13:29","已完成","修 brainstorm-wait-and-review-path-pitfalls.md 两个真 bug"
"ql-20260802-006-4af1","2026-08-02 22:41:50","已完成","quicklog appendTaskCheckbox 不再 fabricate 幻影 change 目录"
"ql-20260803-001-9c4e","2026-08-03 14:24:57","已完成","修 reopen --done 步骤状态不同步（回填 stale→completed）"
"ql-20260803-002-eff0","2026-08-03 14:54:44","已完成","修 archive step3 sync-module-docs 不写模块文档（加 requiresWait）"
"ql-20260803-003-8dd5","2026-08-03 15:20:54","已完成","progress repair 按 review.json 客观产出自动修 execute pending step（不再一律 manual）"
"ql-20260804-001-64e5","2026-08-04 13:11:22","已完成","登记复盘新观察：Grill fail 后复审边界未定义（P4.3a）+ docHash 手算摩擦复发旁注（P6.1b）"
"ql-20260804-002-28c6","2026-08-04 13:29:19","已完成","登记 plan+quick 复盘 7 条：4 新债（TaskCard 行数 / plan→scan 回头路 / QUICKLOG 落盘 / lint doc 空转）+ 3 裁决否决"
"ql-20260804-003-e439","2026-08-04 14:27:59","已完成","解决复盘 4 新债：plan-postcheck title_zh 硬校验 + scan 回头路根因修 + quicklog 四字段归一 + lint doc 空转精细化"
"ql-20260804-004-3a24","2026-08-04 15:02:33","已完成","修 quicklog 单行四字段落盘字段误拆：按序+字段边界双级扫描，正文引用标签字样不再误断行"
"ql-20260804-005-83d8","2026-08-04 16:04:26","已完成","execute 复盘 3 债（Task Review 对账 / Stage Review marker / apply 口径）修复登记"
"ql-20260804-006-2582","2026-08-04 16:22:48","已完成","verify 复盘 3 负面点处置——关键词判级误判 / 测试重复跑 198s×2 / CLI 对账静默无进度"
"ql-20260804-007-617f","2026-08-04 16:52:46","已完成","全流程复盘 3 重点处置——集成层测试盲区 / Task Review base..head 对账坑 / 429 中断无 checkpoint 续跑"
"ql-20260805-001-fa67","2026-08-05 11:48:24","已完成","根治 spec-dir.test.mjs 全量套件下偶发进程级崩溃（Windows flaky）"
"ql-20260805-002-1ee8","2026-08-05 11:59:17","已完成","execute 完成后手动补的 task（reopen/直接实现）缺 review.json"
"ql-20260805-003-c420","2026-08-05 14:10:18","已完成","QUICKLOG 多条目间距——完成中间条目时结果块与下一条目标题间补空行"
"ql-20260806-001-3e12","2026-08-06 06:24:24","已完成","工具驾驭复盘3条反馈修复（design 字段数据流引导 / related_tests 测试断言判据 / review.json 拼错提示）"
"ql-20260806-002-c4dd","2026-08-06 08:54:23","已完成","工具驾驭复盘第二批：execute 加 format 引导 + worktree-deps python 分支（exec-e/f 修复，exec-d 让出并行全流程）"
"ql-20260806-003-df7e","2026-08-06 16:17:01","已完成","execute-runs-isolation 两遗留 gap 补齐（machine-interface 统一 resolveRuntimeRoot + producer 侧 e2e 硬证）"
"ql-20260807-001-a260","2026-08-07 08:36:49","已完成","gate/derive 顶层命令在 worktree cwd 下补 spec drift 锚定"
"ql-20260807-002-cc15","2026-08-07 09:00:42","已完成","修复 sss.md 报告的 4 个 P0 提示词/源码一致性缺陷（verify探针advisory降级 / review-tier≤5→≤3 / archive伪命令 / doctor悬空else-fi）"
"ql-20260807-003-6737","2026-08-07 09:39:48","已完成","矛盾1：brainstorm scale=small 四件套 validator 豁免（contract condition 机制）"
"ql-20260807-004-e480","2026-08-07 09:54:28","已完成","矛盾2：verify-required-evidence 死链闭合（advisory reader + 字段名/SKILL 诚实修复）"
"ql-20260807-005-b4c4","2026-08-07 10:17:18","已完成","P1①：decisions 决策追踪矩阵 prompt 诚实降级（CLI 只查 ID 字面，矩阵结构供人眼追溯）"
"ql-20260807-006-b919","2026-08-07 10:23:23","已完成","P1②：_module-map.yaml 两份分叉 parseModuleMapSimple 合并 + schema_version 校验"
"ql-20260807-007-6281","2026-08-07 11:20:57","已完成","修复 sss.md A组 6 处 prompt/源码一致性缺陷"
"ql-20260807-008-a80f","2026-08-07 13:25:29","已完成（经直接 git commit，非 quick --done——quick 审计 shared.js:516 对文件删除恒 blocked 无 flag 解锁，A6 必删 propose.js/propose.md 故走 quick 不通）","移除 propose 阶段死代码（A6，quick 审计禁删除故直接 commit）"
"ql-20260604-001-7a4c","2026-06-04 16:47:41","已完成","对齐文件生命周期文档与工具实现"
"ql-20260617-002-b8d2","2026-06-17 11:28:01","已完成","默认执行 Design Grill 并引入决策版本"
"ql-20260617-003-c3d9","2026-06-17 13:32:42","已完成","收紧 Grill 流程语义与决策 ID 解析"
"ql-20260617-004-a91f","2026-06-17 13:52:11","已完成","收紧缺省 priority 的未决决策阻断"
"ql-20260617-001-9c4a","2026-06-17 11:16:23","已完成","接入 Grill 深度追问与决策追踪链路"
"ql-20260604-001-7a4c","2026-06-04 16:47:41","已完成","对齐文件生命周期文档与工具实现"
"ql-20260703-001-a079","2026-07-03 10:10:20","已完成（代码并入 commit 4a5f596，与 --no-worktree 谎言修复混提；message 漏标 7 bug）","修复 worktree 生命周期 7 个 bug"
"ql-20260713-001-3e46","2026-07-13 13:12:51","已完成","修复 design/plan 契约校验两处正则误判（文件清单编号前缀 + 生命周期假豁免）"
"ql-20260713-002-7628","2026-07-13 15:07:23","已完成","修复 quick 守卫两缺陷：baseline 漏捕 .sillyspec/ untracked + --done 忽略 force/allow flag"
"ql-20260722-001-25e4","2026-07-22 14:39:37","已完成","(quick 任务)"
"ql-20260802-001-b6d8","2026-08-02 01:36:46","已完成","init 为 Claude Code 生成 CLAUDE.md（版本感知三态四分支注入）"
"ql-20260802-002-36ae","2026-08-02 13:00:43","已完成","spec-dir.test.mjs 全量套件 Windows flaky 防御（run 加 retry+诊断+timeout）"
"ql-20260802-003-752e","2026-08-02 13:38:20","已完成","quick --done 完成推荐改推「提交」，不再盲推 scan 回头路"
"ql-20260802-004-456b","2026-08-02 13:44:04","已完成","QUICKLOG/tasks.md 标题占位符修复（启动从关联变更回退 + 翻完成按需求刷新）"
"ql-20260802-005-5240","2026-08-02 22:13:29","已完成","修 brainstorm-wait-and-review-path-pitfalls.md 两个真 bug"
"ql-20260802-006-4af1","2026-08-02 22:41:50","已完成","quicklog appendTaskCheckbox 不再 fabricate 幻影 change 目录"
"ql-20260803-001-9c4e","2026-08-03 14:24:57","已完成","修 reopen --done 步骤状态不同步（回填 stale→completed）"
"ql-20260803-002-eff0","2026-08-03 14:54:44","已完成","修 archive step3 sync-module-docs 不写模块文档（加 requiresWait）"
"ql-20260803-003-8dd5","2026-08-03 15:20:54","已完成","progress repair 按 review.json 客观产出自动修 execute pending step（不再一律 manual）"
"ql-20260804-001-64e5","2026-08-04 13:11:22","已完成","登记复盘新观察：Grill fail 后复审边界未定义（P4.3a）+ docHash 手算摩擦复发旁注（P6.1b）"
"ql-20260804-002-28c6","2026-08-04 13:29:19","已完成","登记 plan+quick 复盘 7 条：4 新债（TaskCard 行数 / plan→scan 回头路 / QUICKLOG 落盘 / lint doc 空转）+ 3 裁决否决"
"ql-20260804-003-e439","2026-08-04 14:27:59","已完成","解决复盘 4 新债：plan-postcheck title_zh 硬校验 + scan 回头路根因修 + quicklog 四字段归一 + lint doc 空转精细化"
"ql-20260804-004-3a24","2026-08-04 15:02:33","已完成","修 quicklog 单行四字段落盘字段误拆：按序+字段边界双级扫描，正文引用标签字样不再误断行"
"ql-20260804-005-83d8","2026-08-04 16:04:26","已完成","execute 复盘 3 债（Task Review 对账 / Stage Review marker / apply 口径）修复登记"
"ql-20260804-006-2582","2026-08-04 16:22:48","已完成","verify 复盘 3 负面点处置——关键词判级误判 / 测试重复跑 198s×2 / CLI 对账静默无进度"
"ql-20260804-007-617f","2026-08-04 16:52:46","已完成","全流程复盘 3 重点处置——集成层测试盲区 / Task Review base..head 对账坑 / 429 中断无 checkpoint 续跑"
"ql-20260805-001-fa67","2026-08-05 11:48:24","已完成","根治 spec-dir.test.mjs 全量套件下偶发进程级崩溃（Windows flaky）"
"ql-20260805-002-1ee8","2026-08-05 11:59:17","已完成","execute 完成后手动补的 task（reopen/直接实现）缺 review.json"
"ql-20260805-003-c420","2026-08-05 14:10:18","已完成","QUICKLOG 多条目间距——完成中间条目时结果块与下一条目标题间补空行"
"ql-20260806-001-3e12","2026-08-06 06:24:24","已完成","工具驾驭复盘3条反馈修复（design 字段数据流引导 / related_tests 测试断言判据 / review.json 拼错提示）"
"ql-20260806-002-c4dd","2026-08-06 08:54:23","已完成","工具驾驭复盘第二批：execute 加 format 引导 + worktree-deps python 分支（exec-e/f 修复，exec-d 让出并行全流程）"
"ql-20260806-003-df7e","2026-08-06 16:17:01","已完成","execute-runs-isolation 两遗留 gap 补齐（machine-interface 统一 resolveRuntimeRoot + producer 侧 e2e 硬证）"
"ql-20260807-001-a260","2026-08-07 08:36:49","已完成","gate/derive 顶层命令在 worktree cwd 下补 spec drift 锚定"
"ql-20260807-002-cc15","2026-08-07 09:00:42","已完成","修复 sss.md 报告的 4 个 P0 提示词/源码一致性缺陷（verify探针advisory降级 / review-tier≤5→≤3 / archive伪命令 / doctor悬空else-fi）"
"ql-20260807-003-6737","2026-08-07 09:39:48","已完成","矛盾1：brainstorm scale=small 四件套 validator 豁免（contract condition 机制）"
"ql-20260807-004-e480","2026-08-07 09:54:28","已完成","矛盾2：verify-required-evidence 死链闭合（advisory reader + 字段名/SKILL 诚实修复）"
