"change","proposal.md","requirements.md","design.md","tasks.md","verify-result.md","verify-facts.json","doc_count"
"2026-05-25-multi-agent-platform-bootstrap-v2","1","1","1","1","1","0","5"
"2026-05-27-platform-native-sillyspec","1","1","1","1","1","0","5"
"2026-05-28-agent-log-streaming","1","1","1","1","0","0","4"
"2026-05-28-component-as-workspace","1","1","1","1","1","0","5"
"2026-05-29-harness-control-plane","1","1","1","1","0","0","4"
"2026-05-29-knowledge-lifecycle","1","1","1","1","0","0","4"
"2026-05-29-local-runner-execution-loop","1","1","1","1","0","0","4"
"2026-05-29-server-sandbox-runner","1","1","1","1","0","0","4"
"2026-05-29-workspace-intake-spec-bootstrap","1","1","1","1","0","0","4"
"2026-05-30-agent-adapter","1","1","1","1","1","0","5"
"2026-05-30-change-writer","1","1","1","1","0","0","4"
"2026-05-30-execution-coordinator","1","1","1","0","1","0","4"
"2026-05-30-tool-gateway","1","1","1","1","1","0","5"
"2026-05-30-workflow-state-machine","0","0","0","0","0","0","0"
"2026-06-02-spec-bootstrap-agent-stream-interaction","1","1","1","1","1","0","5"
"2026-06-02-sse-reliable-stream","1","1","1","1","1","0","5"
"2026-06-03-change-doc-completeness-gate","1","1","1","1","1","0","5"
"2026-06-03-workspace-bootstrap-flow","1","1","1","1","1","0","5"
"2026-06-04-fix-agent-driven-change-center-flow","1","1","1","1","0","0","4"
"2026-06-05-agent-74b61b","1","1","1","1","1","0","5"
"2026-06-08-2026-06-05-agent-log-width","1","1","1","1","1","0","5"
"2026-06-08-2026-06-08-change-center-columns","1","1","1","1","1","0","5"
"2026-06-09-daemon-agent-detection","1","1","1","1","0","0","4"
"2026-06-09-local-daemon","1","1","1","1","1","0","5"
"2026-06-10-user-management","1","1","1","1","1","0","5"
"2026-06-10-user-management-v2","1","1","1","1","1","0","5"
"2026-06-11-quick-chat-multiturn","0","0","1","0","0","0","1"
"2026-06-14-2026-06-13-daemon-nodejs-rewrite","1","1","1","1","1","0","5"
"2026-06-14-2026-06-14-agent-runtime-selection","1","1","1","1","1","0","5"
"2026-06-14-2026-06-14-unified-agent-execution","1","1","1","1","1","0","5"
"2026-06-16-admin-org-role-center","1","1","1","1","0","0","4"
"2026-06-16-daemon-api-key","1","1","1","1","0","0","4"
"2026-06-16-workspace-members","1","1","1","1","0","0","4"
"2026-06-17-2026-06-17-daemon-codex-support","1","1","1","1","0","0","4"
"2026-06-18-2026-06-18-daemon-interactive-session","1","1","1","1","1","0","5"
"2026-06-18-2026-06-18-workspace-client-path","1","1","1","1","1","0","5"
"2026-06-18-menu-driven-permissions","1","1","1","1","0","0","4"
"2026-06-19-2026-06-20-session-history-enhance","1","1","1","1","1","0","5"
"2026-06-19-agent-stage-dispatch-superseded","1","1","1","1","1","0","5"
"2026-06-19-fix-interactive-daemon-lifecycle","1","0","1","1","0","0","3"
"2026-06-19-multi-agent-orchestration","1","0","0","0","0","0","1"
"2026-06-19-runtimes-layout","0","0","0","1","0","0","1"
"2026-06-20-2026-06-20-ppm-data-migration","0","0","0","0","1","0","1"
"2026-06-20-2026-06-20-ppm-module-migration","1","1","1","1","1","0","5"
"2026-06-20-2026-06-21-ppm-frontend-alignment","1","1","1","1","1","0","5"
"2026-06-21-2026-06-21-frontend-style-system","1","1","1","1","1","0","5"
"2026-06-21-2026-06-21-ppm-full-alignment","1","1","1","1","1","0","5"
"2026-06-21-2026-06-22-login-username-platform","1","1","1","1","1","0","5"
"2026-06-22-2026-06-22-daemon-service-split","1","1","1","1","1","0","5"
"2026-06-22-2026-06-22-unify-agent-run-sse-hook","1","1","1","1","1","0","5"
"2026-06-22-a1-backend-host-path","0","0","0","1","0","0","1"
"2026-06-22-agent-run-pipeline-fix","1","1","1","1","1","0","5"
"2026-06-22-fix-dialog-recovery-session-field","0","0","0","1","0","0","1"
"2026-06-23-2026-06-23-codex-interactive-session","1","1","1","1","1","0","5"
"2026-06-23-runtimes-session-dialog","1","1","1","1","0","0","4"
"2026-06-23-spec-transport-tar-sync","1","1","1","1","0","0","4"
"2026-06-24-2026-06-24-concurrent-refresh-revoke","1","1","1","1","1","0","5"
"2026-06-24-2026-06-24-kanban-gantt-ui","1","1","1","1","1","0","5"
"2026-06-24-daemon-network-resilience","1","1","1","1","0","0","4"
"2026-06-24-runtime-usage-stats","1","1","1","1","1","0","5"
"2026-06-25-2026-06-24-username-login","1","0","1","1","1","0","4"
"2026-06-25-2026-06-25-admin-global-daemon-workspace-management","1","1","1","1","1","0","5"
"2026-06-25-2026-06-25-admin-users-org-tree","1","1","1","1","1","0","5"
"2026-06-25-2026-06-25-frontend-error-handling","1","1","1","1","1","0","5"
"2026-06-25-2026-06-25-interactive-idle-timeout-fix","1","1","1","1","1","0","5"
"2026-06-26-2026-06-26-daemon-client-spec-sync-fix","1","1","1","1","1","0","5"
"2026-06-26-daemon-root-path-translation","1","1","1","1","1","0","5"
"2026-06-27-p0-perf-optimization","0","0","0","1","0","0","1"
"2026-06-28-daemon-client-spec-sync-strategy","1","1","1","1","0","0","4"
"2026-06-28-daemon-subagent-transcript","1","1","1","1","0","0","4"
"2026-06-28-team-mainline-integration","1","1","1","1","0","0","4"
"2026-06-29-runtime-allowed-roots-config","1","1","1","1","0","0","4"
"2026-07-01-changes-align-sillyspec","0","0","0","0","1","0","1"
"2026-07-01-scan-docs-tree-search","0","0","0","1","0","0","1"
"2026-07-01-spec-import-async-and-change-reparse","1","1","1","0","0","0","3"
"2026-07-02-2026-07-02-change-detail-file-tree-editor","1","1","1","1","1","0","5"
"2026-07-02-2026-07-02-workspace-config-flow","1","1","1","1","1","0","5"
"2026-07-02-daemon-filesystem-policy","1","1","1","1","0","0","4"
"2026-07-03-2026-07-02-decouple-scan-from-change-flow","1","1","1","1","1","0","5"
"2026-07-03-2026-07-03-daemon-entity-binding","1","1","1","1","1","0","5"
"2026-07-04-2026-07-04-daemon-version-management","1","1","1","1","1","0","5"
"2026-07-04-2026-07-04-fix-frontend-type-divergence","1","1","1","1","1","0","5"
"2026-07-04-2026-07-05-daemon-client-change-binding-fix","1","1","1","1","0","0","4"
"2026-07-04-frontend-openapi-types","1","1","1","1","0","0","4"
"2026-07-05-2026-07-05-agent-log-type-tags","1","1","1","1","1","0","5"
"2026-07-05-workspace-config-card","1","1","1","1","1","0","5"
"2026-07-06-2026-07-02-daemon-filesystem-policy","0","0","0","0","1","0","1"
"2026-07-06-2026-07-06-allowed-roots-per-runtime","1","1","1","1","0","0","4"
"2026-07-06-component-readonly-split","1","1","1","1","0","0","4"
"2026-07-07-2026-07-06-daemon-host-fs-delegate","1","1","1","1","1","0","5"
"2026-07-07-2026-07-07-daemon-skill-execution","1","1","1","1","1","0","5"
"2026-07-07-2026-07-07-platform-json-contract-align","1","1","1","1","1","0","5"
"2026-07-07-2026-07-07-skills-mcp-management-ui","1","1","1","1","1","0","5"
"2026-07-08-2026-07-07-daemon-machine-runtime-hierarchy","1","1","1","1","1","0","5"
"2026-07-08-2026-07-08-daemon-permission-verify-fix","1","1","1","1","1","0","5"
"2026-07-09-2026-07-09-agent-log-display-fix","1","1","1","1","1","0","5"
"2026-07-09-2026-07-09-ask-user-question-approval","1","1","1","1","1","0","5"
"2026-07-09-2026-07-09-change-detail-session","1","1","1","1","1","0","5"
"2026-07-09-2026-07-09-remote-folder-picker","1","1","1","1","1","0","5"
"2026-07-09-2026-07-09-workspace-prioritization","1","1","1","1","1","0","5"
"2026-07-09-change-detail-session","1","1","1","1","1","0","5"
"2026-07-10-2026-07-10-p3-driver-gate-pilot","1","1","1","1","1","0","5"
"2026-07-10-2026-07-11-gate-cwd-specdir-fix","1","1","1","1","1","0","5"
"2026-07-10-remove-server-local-workspace-mode","1","1","1","1","0","0","4"
"2026-07-11-2026-07-11-daemon-client-container-overreach","1","1","1","1","1","0","5"
"2026-07-11-unify-runtime-session-dialog","1","1","1","1","0","0","4"
"2026-07-12-2026-07-12-team-main-agent-orchestration","1","1","1","1","1","0","5"
"2026-07-12-2026-07-12-worker-worktree-isolation","1","1","1","1","1","0","5"
"2026-07-12-team-mode-platform-wide","1","1","1","1","0","0","4"
"2026-07-13-2026-07-13-fix-interactive-session-zombie","1","1","1","1","1","0","5"
"2026-07-14-2026-07-13-ppm-personal-workbench-prototype","1","1","1","1","1","0","5"
"2026-07-14-2026-07-14-milestone-module-import","1","1","1","1","1","0","5"
"2026-07-14-2026-07-14-ppm-projects-style-redesign","1","1","1","1","1","0","5"
"2026-07-14-lease-gc-recovery-reliability","1","1","1","0","0","0","3"
"2026-07-14-missions-page-redesign","1","1","1","1","0","0","4"
"2026-07-15-2026-07-14-daemon-install-os-aware","1","1","1","1","1","0","5"
"2026-07-15-2026-07-15-change-password","1","1","1","1","1","0","5"
"2026-07-15-2026-07-15-milestone-detail-auto-task","1","1","1","1","1","0","5"
"2026-07-15-2026-07-15-project-members-rebuild","1","1","1","1","1","0","5"
"2026-07-15-workbench-calendar-load-actual","1","1","1","1","0","0","4"
"2026-07-16-2026-07-16-plan-node-subtable-style","1","1","1","1","0","0","4"
"2026-07-16-2026-07-16-workbench-load-crossday","1","1","1","1","1","0","5"
"2026-07-17-2026-07-16-plan-node-module-restructure","1","1","1","1","1","0","5"
"2026-07-17-2026-07-17-project-plan-init-from-template","1","1","1","1","1","0","5"
"2026-07-18-ppm-data-scope","1","1","1","0","0","0","3"
"2026-07-18-project-plan-data-scope","1","1","1","0","0","0","3"
"2026-07-20-2026-07-20-workbench-task-modal-align","1","0","1","0","1","0","3"
"2026-07-20-ppm-menu-unique-keys","1","1","1","1","1","0","5"
"2026-07-20-ppm-permission-simplify","1","1","1","1","1","0","5"
"2026-07-20-problem-list-align-task-plan","1","1","1","1","1","0","5"
"2026-07-21-2026-07-21-workspace-path-dir-picker","1","1","1","1","1","0","5"
"2026-07-22-2026-07-21-ppm-update-null","1","1","1","1","1","0","5"
"2026-07-22-2026-07-22-mobile-app-ui","1","1","1","1","1","0","5"
"2026-07-22-2026-07-22-plan-project-name-join","1","1","1","1","1","0","5"
"2026-07-22-2026-07-22-task-execute-attachments","1","1","1","1","1","0","5"
"2026-07-23-project-weekly-plan","1","1","1","1","0","0","4"
"2026-07-23-rbac-permission-cache","1","1","1","1","1","0","5"
"2026-07-24-2026-07-24-problem-import-enhance","1","1","1","1","1","0","5"
"2026-07-24-2026-07-24-problem-list-excel-import","1","1","1","1","1","0","5"
"2026-07-26-2026-07-25-daemon-borrow-for-business","1","1","1","1","1","0","5"
"2026-07-26-2026-07-25-llm-provider-management","1","1","1","1","1","0","5"
"2026-07-26-2026-07-26-ungate-workspace-entry","1","1","1","1","1","0","5"
"2026-07-27-2026-07-27-auth-refresh-token-index","1","1","1","1","1","0","5"
"2026-07-27-llm-provider-fetch-models","1","1","1","1","1","0","5"
"2026-07-28-2026-07-28-llm-provider-presets-and-usage","1","1","1","1","1","0","5"
"2026-07-28-ppm-project-link-workspace","1","1","1","1","1","0","5"
"2026-07-29-model-error-visibility","1","1","1","1","1","0","5"
"2026-07-30-kanban-workload-heatmap","1","1","1","1","1","0","5"
"2026-07-30-sidebar-menu-restructure","1","1","1","1","1","0","5"
"2026-07-31-admin-roles-permission-modal","1","1","1","1","1","0","5"
"2026-07-31-custom-skill-per-user","1","1","1","1","1","0","5"
"2026-07-31-daemon-heartbeat-dedup-fix","1","1","1","1","1","0","5"
"2026-07-31-offline-session-readonly","1","1","1","1","1","0","5"
"2026-07-31-skills-settings-p0-fixup","1","1","1","1","1","0","5"
"2026-08-02-proxy-create-race-fix","1","1","1","1","1","0","5"
"2026-08-03-agent-profile-layer","1","1","1","1","1","0","5"
"2026-08-03-session-stream-partial-revoke","1","1","1","1","0","0","4"
"2026-08-04-agent-profile-ui-redesign","1","1","1","1","1","0","5"
"2026-08-05-daemon-start-time","1","1","1","1","1","0","5"
"2026-08-05-daemon-version","1","1","1","1","1","0","5"
"2026-08-06-provider-switch-live-session","1","1","1","1","1","0","5"
"2026-08-06-skill-content-viewer","1","1","1","1","1","0","5"
"2026-08-07-scan-doc-drift-gate","1","1","1","1","1","0","5"
"2026-08-08-change-center-on-demand","1","1","1","1","1","0","5"
"2026-08-08-dispatch-worker-caller-worktree","1","1","1","1","1","0","5"
"2026-08-09-changes-ts-apitypes-migrate","1","1","1","1","1","0","5"
"2026-08-09-security-backend-guardrails","1","1","1","1","1","0","5"
"2026-08-09-security-credentials-hygiene","1","1","1","1","1","0","5"
"2026-08-09-security-ppm-ownership","1","1","1","1","1","0","5"
"2026-08-10-inject-wait-session-ready","1","1","1","1","1","0","5"
"2026-08-10-llm-provider-openai-format","1","1","1","1","1","0","5"
"2026-08-10-sillyhub-platform-sync","1","1","1","1","1","0","5"
"2026-08-11-agent-profile-bind-llm-provider","1","1","1","1","1","0","5"
"2026-08-11-change-detail-layout-rework","1","1","1","1","1","0","5"
"2026-08-11-change-progress-projection","1","1","1","1","1","0","5"
"2026-08-11-mcp-token-management-ui","1","1","1","1","1","0","5"
"2026-08-12-dispatch-bind-agent-profile","1","1","1","1","1","0","5"
"2026-08-12-init-provision-local-yaml","1","1","1","1","1","0","5"
"2026-08-13-change-center-rework","1","1","1","1","1","0","5"
"2026-08-13-fix-platform-progress-pk","1","1","1","1","1","0","5"
"2026-08-13-platform-managed-file-sync","1","1","1","1","1","0","5"
"2026-08-13-profile-system-prompt-injection","1","1","1","1","1","0","5"
"2026-08-13-quick-independent-stage","1","1","1","1","1","0","5"
"2026-08-13-spec-sync-visibility","1","1","1","1","1","0","5"
"2026-08-14-audit-system-completion","1","1","1","1","1","0","5"
"2026-08-14-change-center-conversation-driven","1","1","1","1","1","0","5"
"2026-08-14-platform-sync-docs-approval","1","1","1","1","1","0","5"
"2026-08-14-security-audit-remediation","1","1","1","1","1","0","5"
"2026-08-14-spec-sync-per-file-progress","1","1","1","1","1","0","5"
"2026-08-15-change-step-visibility","1","1","1","1","1","0","5"
"2026-08-15-error-message-l10n","1","1","1","1","1","0","5"
"2026-08-15-init-trigger-sillyspec-init","1","1","1","1","1","0","5"
"2026-08-15-perf-remediation","1","1","1","1","1","0","5"
"2026-08-16-change-owner-from-token","1","1","1","1","1","0","5"
"2026-08-17-change-center-quick-tab","1","1","1","1","1","0","5"
"2026-08-17-spec-file-incremental-sync","1","1","1","1","1","0","5"
"2026-08-18-scan-into-session","1","1","1","1","1","0","5"
"2026-08-18-workspace-file-browser","1","1","1","1","1","0","5"
"2026-08-19-cross-workspace-team-mission","1","1","1","1","1","0","5"
"2026-08-19-runtime-live-daemon-read","1","1","1","1","1","0","5"
"2026-08-19-session-stream-ux","1","1","1","1","1","0","5"
"2026-08-19-sessions-portal","1","1","1","1","1","0","5"
"2026-08-19-sessions-workspace-selector","1","1","1","1","1","0","5"
"2026-08-19-spec-mirror-tombstone-sync","1","1","1","1","1","0","5"
"2026-08-19-workspace-role-type","1","1","1","1","1","0","5"
"2026-08-20-frontend-ai-native-style","1","1","1","1","0","0","4"
"2026-08-20-runtime-readpoint-repo-first","1","1","1","1","1","0","5"
"2026-08-20-session-multimodal-attachments","1","1","1","1","1","0","5"
"2026-08-20-sessions-workspace-selector","1","1","1","1","0","0","4"
"2026-08-20-workspace-nav-consolidate","1","1","1","1","1","0","5"
"2026-08-20-workspace-overview-redesign","1","1","1","1","1","0","5"
"2026-08-20-workspace-subpages-style-unify","1","1","1","1","1","0","5"
"2026-08-21-mission-converge-patrol","1","1","1","1","1","0","5"
"2026-08-21-session-message-queue","1","1","1","1","1","0","5"
"2026-08-21-session-reopen-resume","1","1","1","1","1","0","5"
"2026-08-21-table-column-resize","1","1","1","1","1","0","5"
"2026-08-22-session-panel-unify","1","1","1","1","1","0","5"
"2026-08-22-team-session-unify","1","1","1","1","1","0","5"
"2026-08-22-workspace-sessions-portal","1","1","1","1","1","0","5"
"2026-08-23-agent-activity-sessions","1","1","1","1","1","0","5"
"2026-08-23-agent-file-upload-mcp","1","1","1","1","1","0","5"
"2026-08-23-agent-log-conversation-view","1","1","1","1","1","0","5"
"2026-08-23-frontend-dark-theme","1","1","1","1","1","0","5"
"2026-08-23-platform-agent-log-ingest","1","1","1","1","1","0","5"
"2026-08-23-repo-native-spec-backfill","1","1","1","1","1","0","5"
"2026-08-23-sessions-page-style","0","0","0","0","0","0","0"
"2026-08-23-sessions-workspace-hub","1","1","1","1","1","0","5"
"2026-08-24-platform-session-feedback-fix","1","1","1","1","1","0","5"
"2026-08-24-session-team-mission-context","1","1","1","1","1","0","5"
"2026-08-24-sessions-live-updates","1","1","1","1","1","0","5"
"2026-08-25-runtimes-entry-unified-floating","1","1","1","1","1","0","5"
"2026-08-25-session-attachment-preview","1","1","1","1","1","0","5"
"2026-08-25-session-spec-binding","1","1","1","1","1","0","5"
"2026-08-25-team-subsession-governance","1","1","1","1","1","0","5"
"2026-08-25-unified-floating-session","1","1","1","1","1","0","5"
"2026-08-25-workspace-git-log","1","1","1","1","1","0","5"
"2026-08-26-file-fullscreen-preview","1","1","1","1","1","0","5"
"2026-08-26-mobile-workspace-page","1","1","1","1","1","0","5"
"2026-08-26-onlyoffice-preview","1","1","1","1","1","0","5"
"2026-08-26-session-input-mention","1","1","1","1","1","0","5"
"2026-08-26-subsession-portal-grouping","0","0","1","1","1","0","3"
"2026-08-26-team-subsession-recursion","1","1","1","1","1","0","5"
"2026-08-26-workspace-git-status","1","1","1","1","1","0","5"
"2026-08-26-workspace-mcp-edit","1","1","1","1","1","0","5"
"2026-08-26-workspace-skill-edit","1","1","1","1","1","0","5"
"2026-08-27-background-subagent-progress","1","1","1","1","1","0","5"
"2026-08-27-session-token-usage-fix","1","1","1","1","1","0","5"
"2026-08-28-daemon-agent-share","1","1","1","1","1","0","5"
"2026-08-28-fix-cross-machine-worker-dispatch","1","1","1","1","1","0","5"
"2026-08-28-session-ppm-task-binding","1","1","1","1","1","0","5"
"2026-08-29-approval-notify-push","1","1","1","1","1","0","5"
"2026-08-29-batch-session-inherit","1","1","1","1","1","0","5"
"2026-08-29-change-delete-closure-and-spec-pull","1","1","1","1","1","0","5"
"2026-08-29-daemon-platform-resilience","1","1","1","1","1","0","5"
"2026-08-29-daemon-selfupdate-safety","1","1","1","1","1","0","5"
"2026-08-29-frontend-e2e-playwright","1","1","1","1","1","0","5"
"2026-08-29-session-usage-stats","1","1","1","1","1","0","5"
"2026-08-29-session-user-preamble","0","0","1","1","1","0","3"
"2026-08-29-usage-by-provider-model","1","1","1","1","1","0","5"
"2026-08-30-change-center-usage-stats","1","1","1","1","1","0","5"
"2026-08-30-daemon-autostart","1","1","1","1","1","0","5"
"2026-08-30-daemon-self-heal","1","1","1","1","1","0","5"
