"title","status"
"sqljs-wasm-only","(未标)"
"Sub Package Isolation","(未标)"
"Hook Import Restriction","(未标)"
"Propose 死代码","(未标)"
"平台审核占位","(未标)"
"无 Build/Lint 框架","(未标)"
"Worktree Apply 三道坎（多会话归档实战，2026-09-11 cross-change-decision-guard 三连撞）","(未标)"
"ql-ID 双占用（分配竞态，坑 ql-id-double-occupancy）","(未标)"
"quick 单活跃变更无条件自动关联（坑 quick-single-change-auto-link）","(未标)"
"default 空目录物化 + explore --done 拒绝提示缺自身出口（坑 default-empty-dir-materialized / explore-done-change-default-hint，2026-09-14 用户反馈）","(未标)"
"hook 依赖必须显式存在","(未标)"
"parseSimpleYaml 缩进判断必须用原始 line 而非 trimmed","(未标)"
"Windows 下 process.exit 触发 UV_HANDLE_CLOSING assertion 覆盖退出码","(未标)"
"progress.quickGuard 在 db 零持久化，quick --done 跨进程收尾失效","(未标)"
"quick 的 --change 被复用为 linkedChanges，非 changeName","(未标)"
"_resolveMainRepoRoot 用 existsSync('git rev-parse --git-common-dir') 该命令返回相对 .git","(未标)"
"spec-dir.test.mjs 全量套件 Windows 罕见进程级崩溃（flaky）","(未标)"
"task 卡 frontmatter 列表项含半角「冒号+空格」会炸 jsYaml 静默吞掉契约字段","(未标)"
"JS 正则转义全角括号会静默失配（V8 行为）","(未标)"
"2026-09-10 平台通道活体发现的两个平台侧缺口（待平台仓修复，sillyspec 侧兜底已就绪）","(未标)"
"2026-09-11 平台侧 artifacts 代报竞态（真变更场景实测暴露，短任务躲过）","(未标)"
"bash-heredoc-truncation（2026-09-12 双会话实证）","(未标)"
"execute prompt 指引的 wt-commit 是幽灵命令（runWtCommit 未接线 dispatch）","(未标)"
"worktree 隔离期跨仓命令锚定错位（guard 无路径感知，待立项）","(未标)"
"QUICKLOG 多会话条目交织（提交需手工剥离并行条目，待立项）","(未标)"
"probe5 跨仓前端调用面不纳入扫描（parity 扫描根单仓）——**已兑现更正**","(未标)"
"archive 对账表跨仓文件恒标「计划未动」（live worktree 形态缺 per-repo advisory，待立项）","(未标)"
"能力域撞车无预警（quick 无声明面，文件冲突预警不触发，待立项）","(未标)"
"test_strategy: skip 只短路主仓、跨仓无条件跑（口径分裂，待立项）","(未标)"
"worktree 内直跑全量测试的环境性失败族（stash 基线对照成本，待立项）","(未标)"
"quick-gate-required-evidence-flake（2026-09-19，未解）","(未标)"
"blast 自举声明表未落 main（2026-09-19-ceremony-pricing-five-cuts 归档 --skip-apply 遗留）","(未标)"
"span 六域通用路径表已退役为项目声明（无声明项目维度关闭）","(未标)"
